phase,url,source_file,page_type,local_status,production_status,indexable,robots_directives,canonical,canonical_target_status,title,title_length,meta_description,description_length,h1,heading_structure,word_count,lang,published_date,modified_date,author,breadcrumbs,schema_types,internal_inbound_links,internal_outbound_links,external_outbound_links,broken_internal_links,broken_external_links,image_count,missing_alt,missing_dimensions,page_depth,orphan,sitemap_included,duplicate_title,duplicate_description,content_hash,issues,html_bytes
baseline,https://rust.robertdevore.com/,scripts/build.mjs,home,200,200,True,"index,follow",https://rust.robertdevore.com/,200,Understand Rust. Build with confidence. · Rust Course,53,"A free, practical Rust course: 28 lessons, runnable examples, compiler drills, and an installable capstone.",107,Understand Rust. Build with confidence.,h1:Understand Rust. Build with confidence. | h2:Build the model. Then build the software. | h3:Learn the foundations | h3:Build reliable programs | h3:Understand concurrent work | h3:Reason about the boundaries | h3:Ship and maintain | h2:Real input. Useful errors. A tool that holds up. | h2:Your compiler is ready to teach.,350,en,,,,False,,65,18,1,0,0,0,0,0,0,False,True,False,False,a94395f98dbb8e62e748ed2ac92d7a28746b401bdb6f149ea0f17bca974259c5,,8253
baseline,https://rust.robertdevore.com/course/,scripts/build.mjs,course,200,200,True,"index,follow",https://rust.robertdevore.com/course/,200,The curriculum · Rust Course,28,"Five stages from your first Rust program to a tested, installable command-line tool.",84,The curriculum.,"h1:The curriculum. | h2:Learn the foundations | h3:Set up your Rust workshop | h3:Values, functions, and control flow | h3:Ownership, places, and moves | h3:Borrowing and reborrowing | h3:Strings, slices, and collections | h3:Structs, enums, and useful states | h3:Errors as part of the interface | h3:Stage build: the first event counter | h2:Build reliable programs | h3:Lifetimes describe relationships | h3:Traits where abstraction earns its place | h3:Iterators and closures without hidden ownership | h3:Stage build: a bounded streaming library | h3:Cargo, modules, and dependency boundaries | h3:Tests, diagnostics, and complementary tools | h2:Understand concurrent work | h3:Interior mutability and shared ownership | h3:Threads, Send, and Sync | h3:Channels, locks, and shutdown | h3:Atomics and memory ordering | h3:Futures before runtimes | h3:Tokio tasks, blocking, and cancellation | h2:Reason about the boundaries | h3:Pin and async trait boundaries | h3:Stage build: an async ingestion pipeline | h3:Unsafe boundaries and soundness | h3:Measure performance and resource use | h3:Stable Rust and the horizon | h3:FFI, serialization, and public contracts | h2:Ship and maintain | h3:Capstone: ship Fieldnotes | h3:Release, maintain, and keep learning",785,en,,,,False,,96,36,1,0,0,0,0,0,1,False,True,False,False,4f005db105cd9ec9371663f230a15a1439f741210f407a7c469271dfd3f0787c,,14399
baseline,https://rust.robertdevore.com/course/01-start/,content/lessons/01-start.md,lesson,200,200,True,"index,follow",https://rust.robertdevore.com/course/01-start/,200,Set up your Rust workshop · Rust Course,39,"Install a reproducible toolchain, read a Cargo project, and make the first edit.",80,Set up your Rust workshop,h1:Set up your Rust workshop | h2:The work you will build | h2:Install and locate the tools | h2:Read the project before editing | h3:Run the example | h2:Exercise | h2:Check your understanding,649,en,,,,True,,38,44,6,0,0,0,0,0,1,False,True,False,False,51228ce5632ed6d8b5ce9d7f5df61c4f8692085223d352cbcfb339ffd575a217,,12696
baseline,https://rust.robertdevore.com/course/02-values/,content/lessons/02-values.md,lesson,200,200,True,"index,follow",https://rust.robertdevore.com/course/02-values/,200,"Values, functions, and control flow · Rust Course",49,"Express decisions with types, functions, matching, and explicit numeric boundaries.",83,"Values, functions, and control flow","h1:Values, functions, and control flow | h2:Start with a question the program answers | h3:Run the example | h2:Bindings and changes | h2:Choose a numeric policy | h2:Exercise",652,en,,,,True,,36,44,5,0,0,0,0,0,2,False,True,False,False,6b61a72277499381dd8348111b5c5253de94075d8732db48460dee9f2f17bc2e,,13321
baseline,https://rust.robertdevore.com/course/03-ownership/,content/lessons/03-ownership.md,lesson,200,200,True,"index,follow",https://rust.robertdevore.com/course/03-ownership/,200,"Ownership, places, and moves · Rust Course",42,Track who owns a value and why passing it can make its old location unavailable.,80,"Ownership, places, and moves","h1:Ownership, places, and moves | h2:A value and the place holding it | h3:Run the example | h2:Copy is a type property | h2:Follow destruction, not just allocation | h2:Compiler drill | h2:Exercise",777,en,,,,True,,39,45,5,0,0,0,0,0,1,False,True,False,False,af9db3cba65279492b74ec4c4e32ff55f5d3a7b35fde5c00945a131e2fda8a62,,14651
baseline,https://rust.robertdevore.com/course/04-borrowing/,content/lessons/04-borrowing.md,lesson,200,200,True,"index,follow",https://rust.robertdevore.com/course/04-borrowing/,200,Borrowing and reborrowing · Rust Course,39,Reason about permitted access over time instead of treating references as spare owners.,87,Borrowing and reborrowing,h1:Borrowing and reborrowing | h2:Access has a duration | h3:Run the example | h2:Why a push can invalidate a reference | h2:Compiler drill | h2:Exercise,698,en,,,,True,,37,44,5,0,0,0,0,0,2,False,True,False,False,320b42df44b5ea27de6bb3b4eae45a2630c9e8d4ecf06eb9ae9a3359b57233e1,,14251
baseline,https://rust.robertdevore.com/course/05-text/,content/lessons/05-text.md,lesson,200,200,True,"index,follow",https://rust.robertdevore.com/course/05-text/,200,"Strings, slices, and collections · Rust Course",46,Use UTF-8 deliberately and choose ownership at collection boundaries.,69,"Strings, slices, and collections","h1:Strings, slices, and collections | h2:Text is not an array of letters | h3:Run the example | h2:Select storage from the operations | h2:Bound growth at the input boundary | h2:Exercise",634,en,,,,True,,36,44,5,0,0,0,0,0,2,False,True,False,False,bdf5141a54a9cd0d2980713657e209b2dc4edda54a86109b89161a39bae3634c,,13715
baseline,https://rust.robertdevore.com/course/06-model/,content/lessons/06-model.md,lesson,200,200,True,"index,follow",https://rust.robertdevore.com/course/06-model/,200,"Structs, enums, and useful states · Rust Course",47,Make domain distinctions visible without building an elaborate type architecture.,81,"Structs, enums, and useful states","h1:Structs, enums, and useful states | h2:Model the alternatives you actually have | h3:Run the example | h2:Keep invariants close to construction | h2:Restraint is part of design | h2:Exercise",638,en,,,,True,,36,44,5,0,0,0,0,0,2,False,True,False,False,f48e5a35dc938fbe86f7d86e7500d438f2ee7a3aeae64816b2d6d727c9e44926,,13231
baseline,https://rust.robertdevore.com/course/07-errors/,content/lessons/07-errors.md,lesson,200,200,True,"index,follow",https://rust.robertdevore.com/course/07-errors/,200,Errors as part of the interface · Rust Course,45,"Distinguish malformed input, missing values, broken assumptions, and operational failure.",89,Errors as part of the interface,h1:Errors as part of the interface | h2:Four different situations | h3:Run the example | h2:Give callers useful distinctions | h2:Failure should have a defined effect | h2:Exercise,574,en,,,,True,,36,44,5,0,0,0,0,0,2,False,True,False,False,c3f93271d70c7a2be5a0924a13ee6456907c19e92202cce675ba86fea666e92d,,12510
baseline,https://rust.robertdevore.com/course/08-first-build/,content/lessons/08-first-build.md,lesson,200,200,True,"index,follow",https://rust.robertdevore.com/course/08-first-build/,200,Stage build: the first event counter · Rust Course,50,Combine control flow and borrowed text into a small working program.,68,Stage build: the first event counter,h1:Stage build: the first event counter | h2:Build brief | h3:Run the example | h2:Walk through the state | h2:Acceptance criteria | h2:Exercise | h2:Review before moving on,663,en,,,,True,,38,45,4,0,0,0,0,0,2,False,True,False,False,c7c30c5670e3bdee6fd6cc853e087b697f9e94e5d5c6d2137d636f88a66ce7ce,,13266
