url,page_type,intent,primary_entity,author,freshness,evidence,assessment,word_count,answer_structure,gap,status
https://rust.robertdevore.com/,home,learn and practice Understand Rust. Build with confidence.,Rust programming language,Robert DeVore,"Rust 1.98.1 / edition 2024 baseline, verified 2026-09-06; no invented publish dates",scripts/build.mjs; docs/research/ledger.md; examples/ and drills/,Distinct navigational or project explanation purpose,350,h1:Understand Rust. Build with confidence. | h2:Build the model. Then build the software. | h3:Learn the foundations | h3:Build reliable programs | h3:Understand concurrent work | h3:Reason about the boundaries | h3:Ship and maintain | h2:Real input. Useful errors. A tool that holds up. | h2:Your compiler is ready to teach.,No observed blocking content gap; measure actual query and citation demand before expanding,reviewed
https://rust.robertdevore.com/course/,course,learn and practice The curriculum.,Rust programming language,Robert DeVore,"Rust 1.98.1 / edition 2024 baseline, verified 2026-09-06; no invented publish dates",scripts/build.mjs; docs/research/ledger.md; examples/ and drills/,Distinct navigational or project explanation purpose,785,"h1:The curriculum. | h2:Learn the foundations | h3:Set up your Rust workshop | h3:Values, functions, and control flow | h3:Ownership, places, and moves | h3:Borrowing and reborrowing | h3:Strings, slices, and collections | h3:Structs, enums, and useful states | h3:Errors as part of the interface | h3:Stage build: the first event counter | h2:Build reliable programs | h3:Lifetimes describe relationships | h3:Traits where abstraction earns its place | h3:Iterators and closures without hidden ownership | h3:Stage build: a bounded streaming library | h3:Cargo, modules, and dependency boundaries | h3:Tests, diagnostics, and complementary tools | h2:Understand concurrent work | h3:Interior mutability and shared ownership | h3:Threads, Send, and Sync | h3:Channels, locks, and shutdown | h3:Atomics and memory ordering | h3:Futures before runtimes | h3:Tokio tasks, blocking, and cancellation | h2:Reason about the boundaries | h3:Pin and async trait boundaries | h3:Stage build: an async ingestion pipeline | h3:Unsafe boundaries and soundness | h3:Measure performance and resource use | h3:Stable Rust and the horizon | h3:FFI, serialization, and public contracts | h2:Ship and maintain | h3:Capstone: ship Fieldnotes | h3:Release, maintain, and keep learning",No observed blocking content gap; measure actual query and citation demand before expanding,reviewed
https://rust.robertdevore.com/course/01-start/,lesson,learn and practice Set up your Rust workshop,Rust programming language,Robert DeVore,"Rust 1.98.1 / edition 2024 baseline, verified 2026-09-06; no invented publish dates",content/lessons/01-start.md; docs/research/ledger.md; examples/ and drills/,Distinct purpose; source-backed exercises and primary references,658,h1:Set up your Rust workshop | h2:The work you will build | h2:Install and locate the tools | h2:Read the project before editing | h3:Run the example | h2:Exercise | h2:Check your understanding,No observed blocking content gap; measure actual query and citation demand before expanding,reviewed
https://rust.robertdevore.com/course/02-values/,lesson,"learn and practice Values, functions, and control flow",Rust programming language,Robert DeVore,"Rust 1.98.1 / edition 2024 baseline, verified 2026-09-06; no invented publish dates",content/lessons/02-values.md; docs/research/ledger.md; examples/ and drills/,Distinct purpose; source-backed exercises and primary references,661,"h1:Values, functions, and control flow | h2:Start with a question the program answers | h3:Run the example | h2:Bindings and changes | h2:Choose a numeric policy | h2:Exercise",No observed blocking content gap; measure actual query and citation demand before expanding,reviewed
https://rust.robertdevore.com/course/03-ownership/,lesson,"learn and practice Ownership, places, and moves",Rust programming language,Robert DeVore,"Rust 1.98.1 / edition 2024 baseline, verified 2026-09-06; no invented publish dates",content/lessons/03-ownership.md; docs/research/ledger.md; examples/ and drills/,Distinct purpose; source-backed exercises and primary references,785,"h1:Ownership, places, and moves | h2:A value and the place holding it | h3:Run the example | h2:Copy is a type property | h2:Follow destruction, not just allocation | h2:Compiler drill | h2:Exercise",No observed blocking content gap; measure actual query and citation demand before expanding,reviewed
https://rust.robertdevore.com/course/04-borrowing/,lesson,learn and practice Borrowing and reborrowing,Rust programming language,Robert DeVore,"Rust 1.98.1 / edition 2024 baseline, verified 2026-09-06; no invented publish dates",content/lessons/04-borrowing.md; docs/research/ledger.md; examples/ and drills/,Distinct purpose; source-backed exercises and primary references,705,h1:Borrowing and reborrowing | h2:Access has a duration | h3:Run the example | h2:Why a push can invalidate a reference | h2:Compiler drill | h2:Exercise,No observed blocking content gap; measure actual query and citation demand before expanding,reviewed
https://rust.robertdevore.com/course/05-text/,lesson,"learn and practice Strings, slices, and collections",Rust programming language,Robert DeVore,"Rust 1.98.1 / edition 2024 baseline, verified 2026-09-06; no invented publish dates",content/lessons/05-text.md; docs/research/ledger.md; examples/ and drills/,Distinct purpose; source-backed exercises and primary references,642,"h1:Strings, slices, and collections | h2:Text is not an array of letters | h3:Run the example | h2:Select storage from the operations | h2:Bound growth at the input boundary | h2:Exercise",No observed blocking content gap; measure actual query and citation demand before expanding,reviewed
https://rust.robertdevore.com/course/06-model/,lesson,"learn and practice Structs, enums, and useful states",Rust programming language,Robert DeVore,"Rust 1.98.1 / edition 2024 baseline, verified 2026-09-06; no invented publish dates",content/lessons/06-model.md; docs/research/ledger.md; examples/ and drills/,Distinct purpose; source-backed exercises and primary references,647,"h1:Structs, enums, and useful states | h2:Model the alternatives you actually have | h3:Run the example | h2:Keep invariants close to construction | h2:Restraint is part of design | h2:Exercise",No observed blocking content gap; measure actual query and citation demand before expanding,reviewed
https://rust.robertdevore.com/course/07-errors/,lesson,learn and practice Errors as part of the interface,Rust programming language,Robert DeVore,"Rust 1.98.1 / edition 2024 baseline, verified 2026-09-06; no invented publish dates",content/lessons/07-errors.md; docs/research/ledger.md; examples/ and drills/,Distinct purpose; source-backed exercises and primary references,584,h1:Errors as part of the interface | h2:Four different situations | h3:Run the example | h2:Give callers useful distinctions | h2:Failure should have a defined effect | h2:Exercise,No observed blocking content gap; measure actual query and citation demand before expanding,reviewed
https://rust.robertdevore.com/course/08-first-build/,lesson,learn and practice Stage build: the first event counter,Rust programming language,Robert DeVore,"Rust 1.98.1 / edition 2024 baseline, verified 2026-09-06; no invented publish dates",content/lessons/08-first-build.md; docs/research/ledger.md; examples/ and drills/,Distinct purpose; source-backed exercises and primary references,673,h1:Stage build: the first event counter | h2:Build brief | h3:Run the example | h2:Walk through the state | h2:Acceptance criteria | h2:Exercise | h2:Review before moving on,No observed blocking content gap; measure actual query and citation demand before expanding,reviewed
https://rust.robertdevore.com/course/09-lifetimes/,lesson,learn and practice Lifetimes describe relationships,Rust programming language,Robert DeVore,"Rust 1.98.1 / edition 2024 baseline, verified 2026-09-06; no invented publish dates",content/lessons/09-lifetimes.md; docs/research/ledger.md; examples/ and drills/,Distinct purpose; source-backed exercises and primary references,727,h1:Lifetimes describe relationships | h2:A borrowed result needs a source | h3:Run the example | h2:References inside structs | h2:Compiler drill | h2:Exercise,No observed blocking content gap; measure actual query and citation demand before expanding,reviewed
