url,primary_topic,query_intent,suggested_query,evidence,search_volume,cannibalization
https://rust.robertdevore.com/,Understand Rust. Build with confidence.,navigational,Robert DeVore Rust course,Editorial mapping from visible subject; not search-volume data,NOT AVAILABLE — DATA ACCESS REQUIRED,No duplicate page purpose observed
https://rust.robertdevore.com/course/,The curriculum.,navigational,Robert DeVore Rust course,Editorial mapping from visible subject; not search-volume data,NOT AVAILABLE — DATA ACCESS REQUIRED,No duplicate page purpose observed
https://rust.robertdevore.com/course/01-start/,Set up your Rust workshop,instructional,Set up your Rust workshop Rust tutorial,Editorial mapping from visible subject; not search-volume data,NOT AVAILABLE — DATA ACCESS REQUIRED,No duplicate page purpose observed
https://rust.robertdevore.com/course/02-values/,"Values, functions, and control flow",instructional,"Values, functions, and control flow Rust tutorial",Editorial mapping from visible subject; not search-volume data,NOT AVAILABLE — DATA ACCESS REQUIRED,No duplicate page purpose observed
https://rust.robertdevore.com/course/03-ownership/,"Ownership, places, and moves",instructional,"Ownership, places, and moves Rust tutorial",Editorial mapping from visible subject; not search-volume data,NOT AVAILABLE — DATA ACCESS REQUIRED,No duplicate page purpose observed
https://rust.robertdevore.com/course/04-borrowing/,Borrowing and reborrowing,instructional,Borrowing and reborrowing Rust tutorial,Editorial mapping from visible subject; not search-volume data,NOT AVAILABLE — DATA ACCESS REQUIRED,No duplicate page purpose observed
https://rust.robertdevore.com/course/05-text/,"Strings, slices, and collections",instructional,"Strings, slices, and collections Rust tutorial",Editorial mapping from visible subject; not search-volume data,NOT AVAILABLE — DATA ACCESS REQUIRED,No duplicate page purpose observed
https://rust.robertdevore.com/course/06-model/,"Structs, enums, and useful states",instructional,"Structs, enums, and useful states Rust tutorial",Editorial mapping from visible subject; not search-volume data,NOT AVAILABLE — DATA ACCESS REQUIRED,No duplicate page purpose observed
https://rust.robertdevore.com/course/07-errors/,Errors as part of the interface,instructional,Errors as part of the interface Rust tutorial,Editorial mapping from visible subject; not search-volume data,NOT AVAILABLE — DATA ACCESS REQUIRED,No duplicate page purpose observed
https://rust.robertdevore.com/course/08-first-build/,Stage build: the first event counter,instructional,Stage build: the first event counter Rust tutorial,Editorial mapping from visible subject; not search-volume data,NOT AVAILABLE — DATA ACCESS REQUIRED,No duplicate page purpose observed
https://rust.robertdevore.com/course/09-lifetimes/,Lifetimes describe relationships,instructional,Lifetimes describe relationships Rust tutorial,Editorial mapping from visible subject; not search-volume data,NOT AVAILABLE — DATA ACCESS REQUIRED,No duplicate page purpose observed
https://rust.robertdevore.com/course/10-traits/,Traits where abstraction earns its place,instructional,Traits where abstraction earns its place Rust tutorial,Editorial mapping from visible subject; not search-volume data,NOT AVAILABLE — DATA ACCESS REQUIRED,No duplicate page purpose observed
https://rust.robertdevore.com/course/11-iterators/,Iterators and closures without hidden ownership,instructional,Iterators and closures without hidden ownership Rust tutorial,Editorial mapping from visible subject; not search-volume data,NOT AVAILABLE — DATA ACCESS REQUIRED,No duplicate page purpose observed
https://rust.robertdevore.com/course/12-reader/,Stage build: a bounded streaming library,instructional,Stage build: a bounded streaming library Rust tutorial,Editorial mapping from visible subject; not search-volume data,NOT AVAILABLE — DATA ACCESS REQUIRED,No duplicate page purpose observed
https://rust.robertdevore.com/course/13-cargo/,"Cargo, modules, and dependency boundaries",instructional,"Cargo, modules, and dependency boundaries Rust tutorial",Editorial mapping from visible subject; not search-volume data,NOT AVAILABLE — DATA ACCESS REQUIRED,No duplicate page purpose observed
https://rust.robertdevore.com/course/14-testing/,"Tests, diagnostics, and complementary tools",instructional,"Tests, diagnostics, and complementary tools Rust tutorial",Editorial mapping from visible subject; not search-volume data,NOT AVAILABLE — DATA ACCESS REQUIRED,No duplicate page purpose observed
https://rust.robertdevore.com/course/15-interior/,Interior mutability and shared ownership,instructional,Interior mutability and shared ownership Rust tutorial,Editorial mapping from visible subject; not search-volume data,NOT AVAILABLE — DATA ACCESS REQUIRED,No duplicate page purpose observed
https://rust.robertdevore.com/course/16-threads/,"Threads, Send, and Sync",instructional,"Threads, Send, and Sync Rust tutorial",Editorial mapping from visible subject; not search-volume data,NOT AVAILABLE — DATA ACCESS REQUIRED,No duplicate page purpose observed
https://rust.robertdevore.com/course/17-synchronization/,"Channels, locks, and shutdown",instructional,"Channels, locks, and shutdown Rust tutorial",Editorial mapping from visible subject; not search-volume data,NOT AVAILABLE — DATA ACCESS REQUIRED,No duplicate page purpose observed
https://rust.robertdevore.com/course/18-atomics/,Atomics and memory ordering,instructional,Atomics and memory ordering Rust tutorial,Editorial mapping from visible subject; not search-volume data,NOT AVAILABLE — DATA ACCESS REQUIRED,No duplicate page purpose observed
https://rust.robertdevore.com/course/19-futures/,Futures before runtimes,instructional,Futures before runtimes Rust tutorial,Editorial mapping from visible subject; not search-volume data,NOT AVAILABLE — DATA ACCESS REQUIRED,No duplicate page purpose observed
https://rust.robertdevore.com/course/20-async/,"Tokio tasks, blocking, and cancellation",instructional,"Tokio tasks, blocking, and cancellation Rust tutorial",Editorial mapping from visible subject; not search-volume data,NOT AVAILABLE — DATA ACCESS REQUIRED,No duplicate page purpose observed
https://rust.robertdevore.com/course/21-pin/,Pin and async trait boundaries,instructional,Pin and async trait boundaries Rust tutorial,Editorial mapping from visible subject; not search-volume data,NOT AVAILABLE — DATA ACCESS REQUIRED,No duplicate page purpose observed
https://rust.robertdevore.com/course/22-async-build/,Stage build: an async ingestion pipeline,instructional,Stage build: an async ingestion pipeline Rust tutorial,Editorial mapping from visible subject; not search-volume data,NOT AVAILABLE — DATA ACCESS REQUIRED,No duplicate page purpose observed
https://rust.robertdevore.com/course/23-unsafe/,Unsafe boundaries and soundness,instructional,Unsafe boundaries and soundness Rust tutorial,Editorial mapping from visible subject; not search-volume data,NOT AVAILABLE — DATA ACCESS REQUIRED,No duplicate page purpose observed
https://rust.robertdevore.com/course/24-performance/,Measure performance and resource use,instructional,Measure performance and resource use Rust tutorial,Editorial mapping from visible subject; not search-volume data,NOT AVAILABLE — DATA ACCESS REQUIRED,No duplicate page purpose observed
https://rust.robertdevore.com/course/25-horizon/,Stable Rust and the horizon,instructional,Stable Rust and the horizon Rust tutorial,Editorial mapping from visible subject; not search-volume data,NOT AVAILABLE — DATA ACCESS REQUIRED,No duplicate page purpose observed
https://rust.robertdevore.com/course/26-interop/,"FFI, serialization, and public contracts",instructional,"FFI, serialization, and public contracts Rust tutorial",Editorial mapping from visible subject; not search-volume data,NOT AVAILABLE — DATA ACCESS REQUIRED,No duplicate page purpose observed
https://rust.robertdevore.com/course/27-capstone/,Capstone: ship Fieldnotes,instructional,Capstone: ship Fieldnotes Rust tutorial,Editorial mapping from visible subject; not search-volume data,NOT AVAILABLE — DATA ACCESS REQUIRED,No duplicate page purpose observed
https://rust.robertdevore.com/course/28-release/,"Release, maintain, and keep learning",instructional,"Release, maintain, and keep learning Rust tutorial",Editorial mapping from visible subject; not search-volume data,NOT AVAILABLE — DATA ACCESS REQUIRED,No duplicate page purpose observed
https://rust.robertdevore.com/practice/,The practice bench.,navigational,Robert DeVore Rust course,Editorial mapping from visible subject; not search-volume data,NOT AVAILABLE — DATA ACCESS REQUIRED,No duplicate page purpose observed
https://rust.robertdevore.com/about/,Understanding over folklore.,navigational,Robert DeVore Rust course,Editorial mapping from visible subject; not search-volume data,NOT AVAILABLE — DATA ACCESS REQUIRED,No duplicate page purpose observed
