id,phase,category,severity,affected_urls,affected_count,evidence,expected_benefit,confidence,difficulty,recommended_action,owner,status
SEO-01,baseline→after,schema,P2,See category CSV / evidence,32,baseline schema_pages=0; after=32; verify:discovery,Add truthful entity graph and lesson breadcrumbs,High,small,Add truthful entity graph and lesson breadcrumbs,repository maintainer,resolved
SEO-02,baseline→after,authorship,P2,See category CSV / evidence,32,author metadata absent on 32 baseline pages; visible About and lesson byline added,Identify actual author without invented credentials,High,small,Identify actual author without invented credentials,repository maintainer,resolved
SEO-03,baseline→after,redirects,P2,See category CSV / evidence,32,redirects.csv: sampled baseline temporary 307; after permanent 301; all mappings source-tested,Consolidate extension and slash aliases while preserving query strings,High,small,Consolidate extension and slash aliases while preserving query strings,repository maintainer,resolved
SEO-04,baseline→after,assets,P2,See category CSV / evidence,32,Minified content-hashed CSS/JS and immutable cache headers; production verification,Reduce application asset transfer and safely cache versioned files,High,small,Reduce application asset transfer and safely cache versioned files,repository maintainer,resolved
AI-01,baseline→after,portable content,P3,See category CSV / evidence,28,verify:discovery; production-verification.json,"Provide source-complete Markdown, hashes and JSON index; no ranking guarantee",High,small,"Provide source-complete Markdown, hashes and JSON index; no ranking guarantee",repository maintainer,resolved
HOWL-01,baseline→after,artifact integrity,P3,See category CSV / evidence,2,showcase/manifest-lock.json; deterministic repeat rendering,Generate source-backed cards with drift verification,High,small,Generate source-backed cards with drift verification,repository maintainer,resolved
PERF-01,baseline→after,production performance,P2,See category CSV / evidence,2,performance.csv and raw/*lighthouse.json; Cloudflare challenge JSD dominates baseline CPU,Review CDN script cost with owner using field data; preserve requested tracking,Medium,owner/platform access,Review CDN script cost with owner using field data; preserve requested tracking,Cloudflare zone owner,recommendation
DATA-01,baseline→after,visibility measurement,P2,See category CSV / evidence,32,NOT AVAILABLE — DATA ACCESS REQUIRED,"Obtain Search Console, Bing AI Performance, analytics and field CWV exports; compare fixed windows",Medium,owner/platform access,"Obtain Search Console, Bing AI Performance, analytics and field CWV exports; compare fixed windows",site owner,data access required
HOST-01,baseline→after,optional alias,P3,See category CSV / evidence,0,raw/after-edge.json; www.rust.robertdevore.com unavailable,Only configure nested www alias if intended; canonical rust hostname is healthy,Medium,owner/platform access,Only configure nested www alias if intended; canonical rust hostname is healthy,DNS owner,recommendation
EDGE-01,baseline→after,generic HTTP client access,P2,See category CSV / evidence,6,"raw/production-schema-cache.json: Python-urllib/3.10 gets 403 for home, JSON, Markdown, full text and both built assets; named audit/browser clients succeed",Review matching Cloudflare Security Event and consider narrowly scoped legitimate-client access; do not disable zone protection or analytics,Medium,owner/platform access,Review matching Cloudflare Security Event and consider narrowly scoped legitimate-client access; do not disable zone protection or analytics,Cloudflare zone owner,owner review required
