phase,url,title,meta_description,h1,lang,author,duplicate_title,duplicate_description
after,https://rust.robertdevore.com/,Understand Rust. Build with confidence. · Rust Course,"A free, practical Rust course: 28 lessons, runnable examples, compiler drills, and an installable capstone.",Understand Rust. Build with confidence.,en,Robert DeVore,False,False
after,https://rust.robertdevore.com/course/,The curriculum · Rust Course,"Five stages from your first Rust program to a tested, installable command-line tool.",The curriculum.,en,Robert DeVore,False,False
after,https://rust.robertdevore.com/course/01-start/,Set up your Rust workshop · Rust Course,"Install a reproducible toolchain, read a Cargo project, and make the first edit.",Set up your Rust workshop,en,Robert DeVore,False,False
after,https://rust.robertdevore.com/course/02-values/,"Values, functions, and control flow · Rust Course","Express decisions with types, functions, matching, and explicit numeric boundaries.","Values, functions, and control flow",en,Robert DeVore,False,False
after,https://rust.robertdevore.com/course/03-ownership/,"Ownership, places, and moves · Rust Course",Track who owns a value and why passing it can make its old location unavailable.,"Ownership, places, and moves",en,Robert DeVore,False,False
after,https://rust.robertdevore.com/course/04-borrowing/,Borrowing and reborrowing · Rust Course,Reason about permitted access over time instead of treating references as spare owners.,Borrowing and reborrowing,en,Robert DeVore,False,False
after,https://rust.robertdevore.com/course/05-text/,"Strings, slices, and collections · Rust Course",Use UTF-8 deliberately and choose ownership at collection boundaries.,"Strings, slices, and collections",en,Robert DeVore,False,False
after,https://rust.robertdevore.com/course/06-model/,"Structs, enums, and useful states · Rust Course",Make domain distinctions visible without building an elaborate type architecture.,"Structs, enums, and useful states",en,Robert DeVore,False,False
after,https://rust.robertdevore.com/course/07-errors/,Errors as part of the interface · Rust Course,"Distinguish malformed input, missing values, broken assumptions, and operational failure.",Errors as part of the interface,en,Robert DeVore,False,False
after,https://rust.robertdevore.com/course/08-first-build/,Stage build: the first event counter · Rust Course,Combine control flow and borrowed text into a small working program.,Stage build: the first event counter,en,Robert DeVore,False,False
after,https://rust.robertdevore.com/course/09-lifetimes/,Lifetimes describe relationships · Rust Course,Design borrowed results without pretending annotations extend storage.,Lifetimes describe relationships,en,Robert DeVore,False,False
after,https://rust.robertdevore.com/course/10-traits/,Traits where abstraction earns its place · Rust Course,"Use standard interfaces, associated types, and dispatch intentionally.",Traits where abstraction earns its place,en,Robert DeVore,False,False
after,https://rust.robertdevore.com/course/11-iterators/,Iterators and closures without hidden ownership · Rust Course,"Read item types, captures, laziness, and short-circuiting results.",Iterators and closures without hidden ownership,en,Robert DeVore,False,False
after,https://rust.robertdevore.com/course/12-reader/,Stage build: a bounded streaming library · Rust Course,Separate parsing from I/O and enforce memory limits before input grows.,Stage build: a bounded streaming library,en,Robert DeVore,False,False
after,https://rust.robertdevore.com/course/13-cargo/,"Cargo, modules, and dependency boundaries · Rust Course","Read the actual workspace, feature graph, lockfile, and release configuration.","Cargo, modules, and dependency boundaries",en,Robert DeVore,False,False
after,https://rust.robertdevore.com/course/14-testing/,"Tests, diagnostics, and complementary tools · Rust Course","Test contracts and failures, and use compiler output without inventing it.","Tests, diagnostics, and complementary tools",en,Robert DeVore,False,False
after,https://rust.robertdevore.com/course/15-interior/,Interior mutability and shared ownership · Rust Course,"Distinguish reference counts, runtime borrowing, and synchronization.",Interior mutability and shared ownership,en,Robert DeVore,False,False
after,https://rust.robertdevore.com/course/16-threads/,"Threads, Send, and Sync · Rust Course",Transfer or borrow work safely while keeping completion and failure explicit.,"Threads, Send, and Sync",en,Robert DeVore,False,False
after,https://rust.robertdevore.com/course/17-synchronization/,"Channels, locks, and shutdown · Rust Course","Choose ownership transfer or shared state, and reason about waiting.","Channels, locks, and shutdown",en,Robert DeVore,False,False
after,https://rust.robertdevore.com/course/18-atomics/,Atomics and memory ordering · Rust Course,Separate an indivisible counter update from publication of other data.,Atomics and memory ordering,en,Robert DeVore,False,False
after,https://rust.robertdevore.com/course/19-futures/,Futures before runtimes · Rust Course,"Understand polling, wakeups, state machines, and what await does not promise.",Futures before runtimes,en,Robert DeVore,False,False
after,https://rust.robertdevore.com/course/20-async/,"Tokio tasks, blocking, and cancellation · Rust Course","Use a runtime with bounded queues, explicit task results, and deliberate shutdown.","Tokio tasks, blocking, and cancellation",en,Robert DeVore,False,False
after,https://rust.robertdevore.com/course/21-pin/,Pin and async trait boundaries · Rust Course,Understand address-sensitive values and stable alternatives to native async dyn dispatch.,Pin and async trait boundaries,en,Robert DeVore,False,False
after,https://rust.robertdevore.com/course/22-async-build/,Stage build: an async ingestion pipeline · Rust Course,Keep one owner of the aggregate while producers hand over bounded work.,Stage build: an async ingestion pipeline,en,Robert DeVore,False,False
