phase,source_url,destination_url,anchor_text,link_context,http_status,final_url,chain_length,verification,rel,recommended_action
baseline,https://rust.robertdevore.com/,https://rust.robertdevore.com/#main,Skip to content,body,200,https://rust.robertdevore.com/,0,valid,,
baseline,https://rust.robertdevore.com/,https://rust.robertdevore.com/,Rust / the practical course,header,200,https://rust.robertdevore.com/,0,valid,,
baseline,https://rust.robertdevore.com/,https://rust.robertdevore.com/course/,Curriculum,nav,200,https://rust.robertdevore.com/course/,0,valid,,
baseline,https://rust.robertdevore.com/,https://rust.robertdevore.com/practice/,Practice,nav,200,https://rust.robertdevore.com/practice/,0,valid,,
baseline,https://rust.robertdevore.com/,https://rust.robertdevore.com/about/,About,nav,200,https://rust.robertdevore.com/about/,0,valid,,
baseline,https://rust.robertdevore.com/,https://rust.robertdevore.com/course/01-start/,Start learning →,div,200,https://rust.robertdevore.com/course/01-start/,0,valid,,
baseline,https://rust.robertdevore.com/,https://rust.robertdevore.com/course/,Explore the curriculum ↗,div,200,https://rust.robertdevore.com/course/,0,valid,,
baseline,https://rust.robertdevore.com/,https://rust.robertdevore.com/course/03-ownership/,Understand this example ↗,div,200,https://rust.robertdevore.com/course/03-ownership/,0,valid,,
baseline,https://rust.robertdevore.com/,https://rust.robertdevore.com/course/#stage-1,"01 Learn the foundations From the first executable to ownership, data modeling, and a working event counter. 8 lessons ↗",div,200,https://rust.robertdevore.com/course/,0,valid,,
baseline,https://rust.robertdevore.com/,https://rust.robertdevore.com/course/#stage-2,"02 Build reliable programs Borrowed interfaces, purposeful traits, bounded input, and tests that matter. 6 lessons ↗",div,200,https://rust.robertdevore.com/course/,0,valid,,
baseline,https://rust.robertdevore.com/,https://rust.robertdevore.com/course/#stage-3,"03 Understand concurrent work Shared state, threads, synchronization, futures, and the runtime underneath async. 6 lessons ↗",div,200,https://rust.robertdevore.com/course/,0,valid,,
baseline,https://rust.robertdevore.com/,https://rust.robertdevore.com/course/#stage-4,"04 Reason about the boundaries Pinning, unsafe invariants, performance evidence, and the Rust being developed today. 6 lessons ↗",div,200,https://rust.robertdevore.com/course/,0,valid,,
baseline,https://rust.robertdevore.com/,https://rust.robertdevore.com/course/#stage-5,"05 Ship and maintain Install the finished tool, review its contracts, and build a sustainable release workflow. 2 lessons ↗",div,200,https://rust.robertdevore.com/course/,0,valid,,
baseline,https://rust.robertdevore.com/,https://rust.robertdevore.com/course/27-capstone/,Meet the capstone →,div,200,https://rust.robertdevore.com/course/27-capstone/,0,valid,,
baseline,https://rust.robertdevore.com/,https://rust.robertdevore.com/course/01-start/,Begin lesson 01 →,section,200,https://rust.robertdevore.com/course/01-start/,0,valid,,
baseline,https://rust.robertdevore.com/,https://rust.robertdevore.com/,R_ / Rust Course,footer,200,https://rust.robertdevore.com/,0,valid,,
baseline,https://rust.robertdevore.com/,https://rust.robertdevore.com/about/#technical-freshness,"Verified September 6, 2026",div,200,https://rust.robertdevore.com/about/,0,valid,,
baseline,https://rust.robertdevore.com/,https://rust.robertdevore.com/sitemap.xml,Sitemap,div,200,https://rust.robertdevore.com/sitemap.xml,0,valid,,
baseline,https://rust.robertdevore.com/course/,https://rust.robertdevore.com/course/#main,Skip to content,body,200,https://rust.robertdevore.com/course/,0,valid,,
baseline,https://rust.robertdevore.com/course/,https://rust.robertdevore.com/,Rust / the practical course,header,200,https://rust.robertdevore.com/,0,valid,,
baseline,https://rust.robertdevore.com/course/,https://rust.robertdevore.com/course/,Curriculum,nav,200,https://rust.robertdevore.com/course/,0,valid,,
baseline,https://rust.robertdevore.com/course/,https://rust.robertdevore.com/practice/,Practice,nav,200,https://rust.robertdevore.com/practice/,0,valid,,
baseline,https://rust.robertdevore.com/course/,https://rust.robertdevore.com/about/,About,nav,200,https://rust.robertdevore.com/about/,0,valid,,
baseline,https://rust.robertdevore.com/course/,https://rust.robertdevore.com/course/01-start/,"01 Set up your Rust workshop Install a reproducible toolchain, read a Cargo project, and make the first edit. 35 min · Read, run, practice ↗",div,200,https://rust.robertdevore.com/course/01-start/,0,valid,,
baseline,https://rust.robertdevore.com/course/,https://rust.robertdevore.com/course/02-values/,"02 Values, functions, and control flow Express decisions with types, functions, matching, and explicit numeric boundaries. 45 min · Read, run, practice ↗",div,200,https://rust.robertdevore.com/course/02-values/,0,valid,,
baseline,https://rust.robertdevore.com/course/,https://rust.robertdevore.com/course/03-ownership/,"03 Ownership, places, and moves Track who owns a value and why passing it can make its old location unavailable. 55 min · Read, run, practice ↗",div,200,https://rust.robertdevore.com/course/03-ownership/,0,valid,,
baseline,https://rust.robertdevore.com/course/,https://rust.robertdevore.com/course/04-borrowing/,"04 Borrowing and reborrowing Reason about permitted access over time instead of treating references as spare owners. 55 min · Read, run, practice ↗",div,200,https://rust.robertdevore.com/course/04-borrowing/,0,valid,,
baseline,https://rust.robertdevore.com/course/,https://rust.robertdevore.com/course/05-text/,"05 Strings, slices, and collections Use UTF-8 deliberately and choose ownership at collection boundaries. 45 min · Read, run, practice ↗",div,200,https://rust.robertdevore.com/course/05-text/,0,valid,,
baseline,https://rust.robertdevore.com/course/,https://rust.robertdevore.com/course/06-model/,"06 Structs, enums, and useful states Make domain distinctions visible without building an elaborate type architecture. 45 min · Read, run, practice ↗",div,200,https://rust.robertdevore.com/course/06-model/,0,valid,,
baseline,https://rust.robertdevore.com/course/,https://rust.robertdevore.com/course/07-errors/,"07 Errors as part of the interface Distinguish malformed input, missing values, broken assumptions, and operational failure. 50 min · Read, run, practice ↗",div,200,https://rust.robertdevore.com/course/07-errors/,0,valid,,
baseline,https://rust.robertdevore.com/course/,https://rust.robertdevore.com/course/08-first-build/,"08 Stage build: the first event counter Combine control flow and borrowed text into a small working program. 70 min · Read, run, practice ↗",div,200,https://rust.robertdevore.com/course/08-first-build/,0,valid,,
baseline,https://rust.robertdevore.com/course/,https://rust.robertdevore.com/course/09-lifetimes/,"09 Lifetimes describe relationships Design borrowed results without pretending annotations extend storage. 55 min · Read, run, practice ↗",div,200,https://rust.robertdevore.com/course/09-lifetimes/,0,valid,,
baseline,https://rust.robertdevore.com/course/,https://rust.robertdevore.com/course/10-traits/,"10 Traits where abstraction earns its place Use standard interfaces, associated types, and dispatch intentionally. 55 min · Read, run, practice ↗",div,200,https://rust.robertdevore.com/course/10-traits/,0,valid,,
baseline,https://rust.robertdevore.com/course/,https://rust.robertdevore.com/course/11-iterators/,"11 Iterators and closures without hidden ownership Read item types, captures, laziness, and short-circuiting results. 45 min · Read, run, practice ↗",div,200,https://rust.robertdevore.com/course/11-iterators/,0,valid,,
